İl Province,Toplam nüfus Total population,Aldığı göç In-migration,Verdiği göç Out-migration,Net göç Net migration,Net göç hızı Rate of net migration (‰)
Malatya,755854.0,31495.0,28410.0,3085.0,4.089822308157837
Manisa,1477756.0,33408.0,35673.0,-2265.0,-1.5315556243760093
Kahramanmaraş,1146278.0,32151.0,28689.0,3462.0,3.024777488386235
Mardin,903576.0,28043.0,31842.0,-3799.0,-4.195585634288283
Muğla,1099547.0,47400.0,35426.0,11974.0,10.949559237719008
Muş,389127.0,12061.0,18995.0,-6934.0,-17.662012155050764
Nevşehir,320150.0,13090.0,12037.0,1053.0,3.2945011865523033
Niğde,374492.0,13405.0,13748.0,-343.0,-0.9154881647131359
Ordu,768087.0,22394.0,24529.0,-2135.0,-2.7757752181128756
Rize,346947.0,12436.0,13362.0,-926.0,-2.6654385308425206
Sakarya,1123693.0,35743.0,27837.0,7906.0,7.0605676317716615
Samsun,1392403.0,43566.0,37793.0,5773.0,4.15468258203483
Siirt,332369.0,10203.0,16704.0,-6501.0,-19.370149827408717
Sinop,225848.0,10719.0,11050.0,-331.0,-1.4645142878633357
Sivas,631401.0,19978.0,26832.0,-6854.0,-10.796625227620709
Tekirdağ,1208441.0,51534.0,38294.0,13240.0,11.016615619131302
Tokat,614141.0,32800.0,32220.0,580.0,0.9448546960092922
Trabzon,823323.0,23846.0,24253.0,-407.0,-0.4942160331209743
Tunceli,85083.0,6078.0,7558.0,-1480.0,-17.244794518951796
Şanlıurfa,2265800.0,43655.0,59280.0,-15625.0,-6.872323230101876
Uşak,374405.0,9557.0,10465.0,-908.0,-2.422244097113848
Van,1112013.0,31580.0,51818.0,-20238.0,-18.03531135374448
Yozgat,413208.0,17181.0,18550.0,-1369.0,-3.307622148263136
Zonguldak,585203.0,17143.0,18135.0,-992.0,-1.693702738095848
Aksaray,441136.0,12270.0,12941.0,-671.0,-1.5199169142288915
Bayburt,82836.0,5064.0,6388.0,-1324.0,-15.856667225562289
Karaman,262355.0,9440.0,10933.0,-1493.0,-5.674616070223848
Kırıkkale,282830.0,12287.0,12845.0,-558.0,-1.970972311018018
Batman,662626.0,21076.0,21176.0,-100.0,-0.15090330719688053
Şırnak,573666.0,14227.0,19924.0,-5697.0,-9.881798289548659
Bartın,206663.0,8227.0,8114.0,113.0,0.5469334217461697
Ardahan,90392.0,4914.0,5916.0,-1002.0,-11.023951239369369
Iğdır,205071.0,7876.0,10257.0,-2381.0,-11.543598781158869
Yalova,311635.0,18052.0,11733.0,6319.0,20.48460898839616
Karabük,249614.0,10263.0,11251.0,-988.0,-3.950293473219569
Kilis,157363.0,7501.0,8859.0,-1358.0,-8.592652586021437
Osmaniye,564123.0,19293.0,19532.0,-239.0,-0.4235767422695029
Düzce,415622.0,14112.0,12156.0,1956.0,4.717299659466916
"TÜİK, İç Göç İstatistikleri, 2025",,,,,
"TurkStat, Internal Migration Statistics, 2025",,,,,
0 Gerçek sıfır veya kullanılan birimin yarısından azdır. ,,,,,
0 True zero or magnitude less than half of the unit employed.,,,,,
