year,province,population,in_migration,out_migration,net_migration,migration_turnover,in_migration_rate,out_migration_rate,net_migration_rate,turnover_rate,in_out_ratio
2008,ADANA,2026319,45493,58316,-12823,103809,22.451055337288945,28.7792790769864,-6.308263687685111,51.23033441427534,0.7801118046505248
2008,ADIYAMAN,585067,12155,20971,-8816,33126,20.775398373177772,35.8437580653156,-14.955680902497985,56.61915643849337,0.5796099375327833
2008,AFYONKARAHİSAR,697365,18270,24861,-6591,43131,26.198619087565334,35.649910735411154,-9.406838261897168,61.84852982297649,0.7348859659707976
2008,AKSARAY,370598,11146,12596,-1450,23742,30.075715465275042,33.98831078419204,-3.904956062511614,64.06402624946708,0.884884090187361
2008,AMASYA,323675,11748,14268,-2520,26016,36.295666949872555,44.08125434463582,-7.755397233292812,80.37692129450838,0.8233809924306139
2008,ANKARA,4548939,156760,126198,30562,282958,34.46078305292729,27.74229331279228,6.741134862841441,62.20307636571957,1.2421749948493637
2008,ANTALYA,1859275,92031,55806,36225,147837,49.49832596038779,30.01492517244625,19.675069419456456,79.51325113283403,1.649123750134394
2008,ARDAHAN,112242,4640,7447,-2807,12087,41.33924912243189,66.34771297731687,-24.699614151022256,107.68696209974875,0.6230696924936215
2008,ARTVİN,166584,6700,8660,-1960,15360,40.219949094750994,51.98578494933487,-11.697023226946122,92.20573404408587,0.7736720554272517
2008,AYDIN,965500,34375,25577,8798,59952,35.60331434489902,26.490937338166752,9.1540847423944,62.09425168306577,1.3439809203581343
2008,AĞRI,532180,12195,27450,-15255,39645,22.915179074749144,51.580292382276674,-28.260074193115138,74.49547145702581,0.44426229508196724
2008,BALIKESİR,1130276,37407,31129,6278,68536,33.09545633102003,27.541060767458568,5.569864178001432,60.6365170984786,1.2016768929294228
2008,BARTIN,185368,8418,6325,2093,14743,45.41236890941263,34.1213154374002,11.355159327587938,79.53368434681282,1.3309090909090908
2008,BATMAN,485616,16467,19669,-3202,36136,33.90950874765247,40.50319594082567,-6.572020270228666,74.41270468847814,0.8372057552493772
2008,BAYBURT,75675,2996,4949,-1953,7945,39.59035348529898,65.3980839114635,-25.47895344513806,104.98843739676246,0.6053748231966054
2008,BOLU,268882,10049,11032,-983,21081,37.3732715466264,41.02915033360359,-3.6492082554520024,78.40242188023,0.9108955765047135
2008,BURDUR,247437,9674,10019,-345,19693,39.09682060484083,40.49111491005792,-1.3933229540869796,79.58793551489875,0.9655654256911868
2008,BURSA,2507963,82964,47370,35594,130334,33.08023284235055,18.887838456946934,14.293826194719548,51.96807129929748,1.7514038420941525
2008,BİLECİK,193169,8206,8793,-587,16999,42.48093638213171,45.51972625007118,-3.034179750597661,88.00066263220289,0.9332423518708063
2008,BİNGÖL,256091,8977,10192,-1215,19169,35.05394566775092,39.79835292923219,-4.733179196606136,74.8522985969831,0.8807888540031397
2008,BİTLİS,326897,11721,20957,-9236,32678,35.85533057813317,64.10887833170693,-27.85997617000739,99.9642089098401,0.5592880660399866
2008,DENİZLİ,917836,22721,22120,601,44841,24.754967118308716,24.100166042735303,0.655015528009543,48.85513316104402,1.0271699819168174
2008,DÜZCE,328611,10723,8913,1810,19636,32.63128744929415,27.12325515579211,5.523243394994294,59.75454260508626,1.2030741613373723
2008,DİYARBAKIR,1492828,31677,47777,-16100,79454,21.219457298496543,32.004356831463504,-10.7270544308065,53.22381412996005,0.6630177700567218
