year,province,population,in_migration,out_migration,net_migration,migration_turnover,in_migration_rate,out_migration_rate,net_migration_rate,turnover_rate,in_out_ratio
2008,EDİRNE,394644,11202,14249,-3047,25451,28.385076169915163,36.105958788173645,-7.691191225933475,64.4910349580888,0.7861604323110394
2008,ELAZIĞ,547562,15294,18813,-3519,34107,27.93108360331798,34.35775309462673,-6.406084597089318,62.28883669794471,0.8129484930633073
2008,ERZURUM,774967,18999,43585,-24586,62584,24.515882611775726,56.24110445993184,-31.229835124355358,80.75698707170757,0.4359068486864747
2008,ERZİNCAN,210645,10977,11976,-999,22953,52.11137221391441,56.85394858648437,-4.731356961701583,108.96532080039877,0.9165831663326653
2008,ESKİŞEHİR,741739,31731,21970,9761,53701,42.779198612989205,29.619583168742643,13.246776687790126,72.39878178173186,1.444287664997724
2008,GAZİANTEP,1612223,37184,36229,955,73413,23.063806929934632,22.47145711232255,0.5925253087413614,45.53526404225718,1.026360098263822
2008,GÜMÜŞHANE,131367,9281,9073,208,18354,70.64940205683315,69.0660515959107,1.584604953414138,139.71545365274383,1.0229251625702633
2008,GİRESUN,421766,20089,18539,1550,38628,47.630676725957045,43.955653134676574,3.6817889218534363,91.58632986063363,1.0836075300717407
2008,HAKKARİ,258590,7801,6981,820,14782,30.167446536989058,26.996403573224022,3.176078704779611,57.163850110213076,1.1174616817074918
2008,HATAY,1413287,29459,32624,-3165,62083,20.84431541505724,23.083775623776347,-2.2369554223905457,43.928091038833585,0.90298553212359
2008,ISPARTA,407463,17997,16800,1197,34797,44.16842756274803,41.2307375148173,2.9420114067459804,85.39916507756533,1.07125
2008,IĞDIR,184025,5559,9356,-3797,14915,30.207852193995382,50.84091835348458,-20.422378021067804,81.04877054747996,0.5941641727233861
2008,KAHRAMANMARAŞ,1029298,26142,25574,568,51716,25.39789254423889,24.8460601303024,0.5519847154654844,50.24395267454129,1.0222100570892312
2008,KARABÜK,216248,8383,8489,-106,16872,38.765676445562505,39.25585438940476,-0.49005783607103065,78.02153083496727,0.9875132524443397
2008,KARAMAN,230145,8904,8145,759,17049,38.688652805839794,35.3907319298703,3.303367999112138,74.0793847357101,1.0931860036832413
2008,KARS,312128,8855,17726,-8871,26581,28.369771375845808,56.79080377281115,-28.022813748268515,85.16057514865696,0.49954868554665466
2008,KASTAMONU,360424,14775,14003,772,28778,40.99338556810867,38.85146383148736,2.1442181103105784,79.84484939959603,1.055131043347854
2008,KAYSERİ,1184386,30021,28621,1400,58642,25.347310758485833,24.16526368937154,1.1827460998947357,49.51257444785737,1.0489151322455539
2008,KIRIKKALE,279325,11360,16605,-5245,27965,40.669471046272264,59.44688087353441,-18.60275405882301,100.11635191980668,0.684131285757302
2008,KIRKLARELİ,336942,10565,11027,-462,21592,31.35554487122413,32.72670073781244,-1.3702164764082534,64.08224560903658,0.9581028384873492
2008,KIRŞEHİR,222735,9822,12312,-2490,22134,44.0972456057647,55.27644959256516,-11.117064023573533,99.37369519832986,0.7977582846003899
2008,KOCAELİ,1490358,63965,40947,23018,104912,42.91921806706845,27.474606772332553,15.564807495559046,70.393824839401,1.5621413046132806
2008,KONYA,1969868,45502,56760,-11258,102262,23.099009679836417,28.814113432981298,-5.698819081982914,51.913123112817715,0.8016560958421424
2008,KÜTAHYA,565884,14112,21711,-7599,35823,24.937973153508494,38.36652034692622,-13.33898559463281,63.30449350043472,0.6499930910598314
2008,KİLİS,120991,4998,4611,387,9609,41.30885768362936,38.11027266490896,3.2037086860241315,79.41913034853832,1.0839297332465843
2008,MALATYA,733789,25500,27830,-2330,53330,34.751134181624415,37.92643389312187,-3.1702664384437664,72.67756807474628,0.9162773984908372
2008,MANİSA,1316750,38301,35458,2843,73759,29.08752610594266,26.928422251756217,2.1614372379219335,56.01594835769888,1.0801793671385864
2008,MARDİN,750697,27606,41432,-13826,69038,36.77382485876459,55.19137548171899,-18.24949512282045,91.96520034048358,0.6662965823518053
2008,MERSİN,1602908,46776,50110,-3334,96886,29.18196178445675,31.26193143960851,-2.0778087655609743,60.44389322406526,0.9334663739772501
2008,MUĞLA,791424,35907,24959,10948,60866,45.37011766132945,31.536824761442666,13.929639290031172,76.90694242277212,1.4386393685644456
2008,MUŞ,404309,10058,25896,-15838,35954,24.877012384092364,64.05002114719187,-38.42048575060404,88.92703353128424,0.38839975285758416
2008,NEVŞEHİR,281699,9531,10882,-1351,20413,33.833985921142784,38.629885090113916,-4.784426355779293,72.4638710112567,0.8758500275684616
2008,NİĞDE,338447,15150,13991,1159,29141,44.76328642298499,41.33882114481736,3.430338816251933,86.10210756780235,1.0828389679079409
2008,ORDU,719278,27719,31458,-3739,59177,38.53725541445728,43.73552367791035,-5.184792292838844,82.27277909236763,0.8811431114501875
2008,OSMANİYE,464704,17464,16338,1126,33802,37.58091172014874,35.15786393058807,2.425986930695629,72.73877565073681,1.0689190843432488
2008,RİZE,319410,13253,13825,-572,27078,41.49212610751072,43.282927898312515,-1.789199739752765,84.77505400582324,0.958625678119349
2008,SAKARYA,851292,24321,20887,3434,45208,28.569515512890995,24.535646993041166,4.042021010505253,53.10516250593216,1.1644084837458706
2008,SAMSUN,1233677,35404,40633,-5229,76037,28.697949301154193,32.936497965026504,-4.229585012919688,61.63444726618069,0.8713114955824084
2008,SİNOP,200791,10299,9472,827,19771,51.29213958792974,47.17342908795713,4.127209891330114,98.46556867588687,1.0873099662162162
2008,SİVAS,631112,18871,30428,-11557,49299,29.90119028001369,48.213312375616376,-18.145976427659072,78.11450265563006,0.6201853555935323
2008,SİİRT,299819,11870,12625,-755,24495,39.59055296695673,42.10873893915996,-2.5150193290061678,81.69929190611668,0.9401980198019801
2008,TEKİRDAĞ,770772,47534,22373,25161,69907,61.67063671228327,29.02674201968935,33.18554745074299,90.69737873197262,2.1246144906807314
2008,TOKAT,617158,29593,35892,-6299,65485,47.950443808554695,58.15690633516863,-10.154641044965603,106.10735014372332,0.8245012816226457
2008,TRABZON,748982,25918,27027,-1109,52945,34.604302907145964,36.08497934529802,-1.4795810477541786,70.68928225244399,0.9589669589669589
2008,TUNCELİ,86449,6861,6068,793,12929,79.36471214241924,70.19167370357088,9.215304610557508,149.55638584599012,1.130685563612393
2008,UŞAK,334111,8666,10222,-1556,18888,25.937487840867256,30.5946227451356,-4.64631564488532,56.53211058600286,0.8477792995499902
2008,VAN,1004369,21187,30275,-9088,51462,21.09483665863841,30.143303905238014,-9.007714242952563,51.23814056387642,0.6998183319570603
2008,YALOVA,197412,16656,6542,10114,23198,84.37177071302656,33.138816282698116,52.57986535312313,117.51058699572468,2.546010394374809
2008,YOZGAT,484206,15352,30117,-14765,45469,31.705513768933056,62.19873359685754,-30.03528357559219,93.9042473657906,0.5097453265597504
2008,ZONGULDAK,619151,17639,19530,-1891,37169,28.489011565837735,31.543193825092747,-3.0495253561340854,60.032205390930486,0.9031746031746032
2008,ÇANAKKALE,474791,16390,14246,2144,30636,34.520452156843746,30.004781051030875,4.52588982075872,64.52523320787462,1.1504983855117226
2008,ÇANKIRI,176093,12680,11612,1068,24292,72.00740517794574,65.9424281487623,6.083424945459931,137.94983332670805,1.0919738201860145
2008,ÇORUM,545444,15828,24072,-8244,39900,29.01856102551316,44.13285323516255,-15.000928005007587,73.15141426067571,0.6575274177467597
2008,İSTANBUL,12697164,374868,348193,26675,723061,29.523758218764442,27.422895380417234,2.1030719712225645,56.94665359918167,1.0766098112253837
2008,İZMİR,3795978,117067,89819,27248,206886,30.839746700323342,23.661622907192825,7.203979320814498,54.50136960751617,1.303365657600285
2008,ŞANLIURFA,1574224,25510,37282,-11772,62792,16.204809480734635,23.68277957901798,-7.45011423255343,39.887589059752614,0.6842444074888686
2008,ŞIRNAK,429287,13223,15877,-2654,29100,30.802237197958476,36.98458141057148,-6.163292415016697,67.78681860852996,0.8328399571707501
2009,ADANA,2062226,53685,54109,-424,107794,26.032549293821337,26.23815236545364,-0.20558193749339373,52.27070165927498,0.9921639653292428
2009,ADIYAMAN,588475,12091,18295,-6204,30386,20.546327371596075,31.088831301244742,-10.487223134097505,51.63515867284082,0.6608909538125171
2009,AFYONKARAHİSAR,701326,20223,22256,-2033,42479,28.8353775562292,31.734172125373934,-2.8945991450040403,60.569549681603135,0.9086538461538461
2009,AKSARAY,376907,10217,12587,-2370,22804,27.107482747733524,33.395506053217375,-6.268315648043333,60.502988800950895,0.8117104949551124
2009,AMASYA,324268,11533,13187,-1654,24720,35.566260007154575,40.66697916538172,-5.087743582645073,76.2332391725363,0.8745734435428831
2009,ANKARA,4650802,168193,131114,37079,299307,36.16430026477154,28.191696829923096,8.004511834119937,64.35599709469463,1.2827997010235368
2009,ANTALYA,1919729,75696,58632,17064,134328,39.43056546002066,30.54181084934384,8.928435948779743,69.97237630936449,1.2910356119525175
2009,ARDAHAN,108169,3775,7033,-3258,10808,34.89909308581941,65.01862825763389,-29.672671633363084,99.9177213434533,0.5367552964595479
2009,ARTVİN,165580,6206,7547,-1341,13753,37.480372025606954,45.579176229013164,-8.066141154462693,83.05954825462013,0.8223135020537962
2009,AYDIN,979155,28524,27640,884,56164,29.1312407126553,28.22842144502147,0.9032269929999908,57.35966215767677,1.0319826338639653
2009,AĞRI,537665,12115,22613,-10498,34728,22.532617894041827,42.05778691192471,-19.336395819595737,64.59040480596654,0.5357537699553354
2009,BALIKESİR,1140085,33275,31291,1984,64566,29.1864203107663,27.44619918690273,1.741736627299088,56.63261949766903,1.0634048128854943
2009,BARTIN,188449,7566,7104,462,14670,40.14879357279688,37.69720189547304,2.4546005164224463,77.84599546826993,1.0650337837837838
2009,BATMAN,497998,18326,16855,1471,35181,36.799344575681026,33.84551745187731,2.958196123777683,70.64486202755835,1.087273805992287
2009,BAYBURT,74710,3101,4420,-1319,7521,41.5071610226208,59.1620934279213,-17.500447793868872,100.6692544505421,0.7015837104072398
2009,BOLU,271545,12808,10124,2684,22932,47.16713620210278,37.28295494301129,9.933272391498244,84.45009114511407,1.265112603713947
2009,BURDUR,251550,8144,8659,-515,16803,32.375273305505864,34.422580003975355,-2.045213109220337,66.79785330948121,0.9405243099665088
2009,BURSA,2550645,66615,56368,10247,122983,26.116923366442606,22.09950816362136,4.025501257797273,48.216431530063964,1.1817875390292365
2009,BİLECİK,202061,8283,8251,32,16534,40.99257155017544,40.83420353259659,0.15838055878640897,81.82677508277203,1.003878317779663
2009,BİNGÖL,255745,6986,10726,-3740,17712,27.316272067880114,41.94021388492444,-14.517788172272578,69.25648595280455,0.6513145627447324
2009,BİTLİS,328489,11594,16485,-4891,28079,35.29494138312089,50.18432885119441,-14.779359661806188,85.47927023431531,0.7033060357901122
2009,DENİZLİ,926362,20119,21706,-1587,41825,21.718291553410005,23.43144472679147,-1.711686982388607,45.14973628020147,0.9268865751405141
2009,DÜZCE,335156,11752,9046,2706,20798,35.064268579407795,26.990416403107808,8.106577831834944,62.0546849825156,1.2991377404377626
2009,DİYARBAKIR,1515011,32384,43918,-11534,76302,21.375422356669358,28.9885683998334,-7.584275942971295,50.36399075650276,0.7373741973678218
2009,EDİRNE,395463,15183,12910,2273,28093,38.39297228817867,32.64527907794155,5.7642588058372946,71.03825136612022,1.1760650658404337
2009,ELAZIĞ,550667,15900,18001,-2101,33901,28.87407453143188,32.689447524547504,-3.8081083163031804,61.563522055979384,0.8832842619854453
2009,ERZURUM,774207,24830,33681,-8851,58511,32.07152609056751,43.50386912027403,-11.367365220434545,75.57539521084155,0.7372108904129925
2009,ERZİNCAN,213288,11966,11189,777,23155,56.10254679119313,52.459585161846896,3.649609322708602,108.56213195304002,1.0694432031459469
2009,ESKİŞEHİR,755427,32346,23225,9121,55571,42.81816773824605,30.744201623717448,12.14729915371108,73.5623693619635,1.392723358449946
2009,GAZİANTEP,1653670,36075,34125,1950,70200,21.815114261007334,20.63591889554748,1.1798910264749394,42.451033156554814,1.0571428571428572
2009,GÜMÜŞHANE,130976,8681,10444,-1763,19125,66.27931834839971,79.7397996579526,-13.370494662798855,146.0191180063523,0.831194944465722
2009,GİRESUN,421860,16970,19567,-2597,36537,40.226615464846155,46.38268619921301,-6.137180276421247,86.60930166405916,0.8672765370266264
2009,HAKKARİ,256761,4314,7949,-3635,12263,16.801617068012664,30.958751523790607,-14.05762660081948,47.76036859180327,0.542709774814442
2009,HATAY,1448418,28547,32296,-3749,60843,19.709089503168283,22.297430714061825,-2.584995785332959,42.00652021723011,0.8839175130047064
2009,ISPARTA,420796,18633,15822,2811,34455,44.280363881785945,37.60016730197055,6.702583868733316,81.8805311837565,1.177664012135002
2009,IĞDIR,183486,5179,7986,-2807,13165,28.225586693262702,43.52375658088356,-15.18204116512836,71.74934327414626,0.6485098923115452
2009,KAHRAMANMARAŞ,1037491,18521,26934,-8413,45455,17.851721123363962,25.960707129025696,-8.076240943268079,43.81242825238966,0.6876438702012326
2009,KARABÜK,218564,8511,9242,-731,17753,38.940539155579145,42.28509727127981,-3.338974418705565,81.22563642685896,0.9209045661112313
2009,KARAMAN,231872,7853,8424,-571,16277,33.867823626828596,36.330389180237376,-2.459537167655579,70.19821280706597,0.9322174738841406
2009,KARS,306536,9028,15660,-6632,24688,29.451679411227392,51.08698488921367,-21.403766959709795,80.53866430044106,0.5765006385696041
2009,KASTAMONU,359823,13047,14570,-1523,27617,36.25949425134024,40.492130853225056,-4.2236979126945275,76.7516251045653,0.8954701441317776
2009,KAYSERİ,1205872,31075,28831,2244,59906,25.769733437711466,23.908839412474954,1.8626271010583109,49.67857285018642,1.0778328882106067
2009,KIRIKKALE,280834,15861,15565,296,31426,56.47820420604343,55.424200773410625,1.054559187134378,111.90240497945406,1.0190170253774493
2009,KIRKLARELİ,333179,10359,11242,-883,21601,31.091395316031324,33.741622371157845,-2.646719850848494,64.83301768718917,0.9214552570716954
2009,KIRŞEHİR,223102,10947,12186,-1239,23133,49.067242785810976,54.62075642531219,-5.538135583750332,103.68799921112317,0.8983259478089611
2009,KOCAELİ,1522408,60432,48399,12033,108831,39.6950094849738,31.791083599140308,7.9352858414202405,71.48609308411412,1.2486208392735387
2009,KONYA,1992675,46042,51006,-4964,97048,23.105624349178868,25.59674808987918,-2.488024751936815,48.70237243905805,0.9026781163000431
2009,KÜTAHYA,571804,15291,18210,-2919,33501,26.74168071576974,31.846576799043028,-5.091899274940756,58.58825751481277,0.8397034596375618
2009,KİLİS,122104,4662,5677,-1015,10339,38.18056738517985,46.493153377448735,-8.278179452987688,84.67372076262858,0.8212083847102343
2009,MALATYA,736884,25806,28208,-2402,54014,35.02043740941586,38.280109216647396,-3.2543677218748517,73.30054662606327,0.9148468519568916
2009,MANİSA,1331957,28781,34262,-5481,63043,21.608054914685685,25.7230526210681,-4.106548487578646,47.33110753575378,0.8400268519059015
2009,MARDİN,737852,18296,40308,-22012,58604,24.796300613131088,54.62884155630126,-29.394090735493243,79.42514216943235,0.4539049320234197
2009,MERSİN,1640888,48377,49209,-832,97586,29.482207195128492,29.989249723320544,-0.5069140147102548,59.471456918449036,0.9830925237253348
2009,MUĞLA,802381,28390,26613,1777,55003,35.38219374586387,33.16753512358842,2.217113697258552,68.5497288694523,1.0667718784052906
2009,MUŞ,404484,10158,20182,-10024,30340,25.113477912599755,49.8956695444072,-24.478871588489266,75.00914745700695,0.5033197899118026
2009,NEVŞEHİR,284025,8965,10667,-1702,19632,31.56412287650735,37.55655312032391,-5.974529268874879,69.12067599683127,0.8404424861723071
2009,NİĞDE,339921,12588,15778,-3190,28366,37.03213393700301,46.41666740213167,-9.340704388667003,83.44880133913468,0.7978197490176194
2009,ORDU,723507,30335,31296,-961,61631,41.92772150096682,43.255974026512526,-1.3273709836150487,85.18369552747934,0.9692932004089979
2009,OSMANİYE,471804,15167,16319,-1152,31486,32.14682368102009,34.58851557002484,-2.4387145941826494,66.73533925104492,0.9294074391813224
2009,RİZE,319569,12428,14575,-2147,27003,38.88987980686487,45.60830368402442,-6.695930826387643,84.49818349088929,0.8526929674099485
2009,SAKARYA,861570,25376,21665,3711,47041,29.453207516510556,25.14595447845213,4.3165492730435515,54.599161994962685,1.171290099238403
2009,SAMSUN,1250076,38874,39581,-707,78455,31.097309283595557,31.66287489720625,-0.5654057265923429,62.76018418080181,0.9821378944443041
2009,SİNOP,201134,9562,9558,4,19120,47.5404456730339,47.52055843368103,0.019887437105980153,95.06100410671493,1.0004184975936388
2009,SİVAS,633347,23217,28585,-5368,51802,36.65763001956274,45.13323659857866,-8.439840196468412,81.7908666181414,0.8122092006297009
2009,SİİRT,303622,8475,11797,-3322,20272,27.912997081897885,38.85423322420642,-10.881706482182107,66.7672303061043,0.7184029838094431
2009,TEKİRDAĞ,783310,37655,29066,8589,66721,48.071644687288554,37.10663721898099,11.02545456412613,85.17828190626955,1.2954998967866236
2009,TOKAT,624439,32655,34213,-1558,66868,52.294939938088426,54.789979485586265,-2.4919308145318912,107.08491942367469,0.9544617543039196
2009,TRABZON,765127,36868,26474,10394,63342,48.18546463528277,34.60079176398167,13.67757556617057,82.78625639926443,1.3926116189468913
2009,TUNCELİ,83061,4100,6205,-2105,10305,49.36131277013279,74.70413310699365,-25.025709309444977,124.06544587712645,0.660757453666398
2009,UŞAK,335860,8693,9644,-951,18337,25.882808312987553,28.714345262907162,-2.827533816680071,54.597153575894716,0.901389464952302
2009,VAN,1022310,22866,27175,-4309,50041,22.36699239956569,26.58195654938326,-4.206099869736823,48.948948948948946,0.8414351425942962
2009,YALOVA,202531,12269,10233,2036,22502,60.57838059358814,50.52559855034538,10.103566519281635,111.10397914393351,1.1989641356395975
2009,YOZGAT,487365,17705,25546,-7841,43251,36.328008781919095,52.416566638966685,-15.960169799434341,88.74457542088578,0.6930634933061928
2009,ZONGULDAK,619812,16258,20701,-4443,36959,26.230534420114488,33.39883706672346,-7.14270212134877,59.62937148683795,0.7853726873097918
2009,ÇANAKKALE,477735,15412,14802,610,30214,32.26056286434948,30.9837043549248,1.2776742140209036,63.244267219274285,1.0412106472098366
2009,ÇANKIRI,185019,20166,11831,8335,31997,108.99421140531513,63.94478404920576,46.08753590653105,172.9389954545209,1.7045051136843885
2009,ÇORUM,540704,13672,22699,-9027,36371,25.28555364857667,41.98045511037462,-16.556695263816735,67.26600875895129,0.6023172826996784
2009,İSTANBUL,12915158,388467,348986,39481,737453,30.078377670640965,27.021427070423762,3.0616302263963147,57.09980474106472,1.1131306126893343
2009,İZMİR,3868308,116390,89517,26873,205907,30.08809019343858,23.141125267171073,6.971179194948522,53.22921546060965,1.3001999620183875
2009,ŞANLIURFA,1613737,27190,35154,-7964,62344,16.849090031399168,21.78421886589946,-4.922981061605879,38.63330889729863,0.7734539454969562
2009,ŞIRNAK,430424,8356,13025,-4669,21381,19.41341560879505,30.260859059903723,-10.788927311653035,49.67427466869877,0.6415355086372361
2010,ADANA,2085225,53096,57402,-4306,110498,25.46295963265355,27.52796460813581,-2.062875051859318,52.99092424078936,0.9249851921535835
2010,ADIYAMAN,590935,14150,20135,-5985,34285,23.94510394544239,34.07312140929206,-10.076987511101944,58.01822535473445,0.702756394338217
2010,AFYONKARAHİSAR,697559,17451,24119,-6668,41570,25.017238685186484,34.576286737035865,-9.513577678761237,59.59352542222235,0.723537460093702
2010,AKSARAY,377505,10159,13225,-3066,23384,26.910901842359703,35.03264857419107,-8.088898738385069,61.94355041655077,0.7681663516068052
2010,AMASYA,334786,11729,13726,-1997,25455,35.034320431559266,40.99932494190318,-5.947266773779016,76.03364537346245,0.8545096896400991
2010,ANKARA,4771716,182845,133440,49405,316285,38.31850009514397,27.964782480767926,10.407596270792151,66.2832825759119,1.3702413069544364
2010,ANTALYA,1978333,86907,61662,25245,148569,43.92940925516584,31.168665740297513,12.842684617088834,75.09807499546335,1.409409360708378
2010,ARDAHAN,105454,4586,6857,-2271,11443,43.48815597322055,65.02361219109754,-21.306038587290494,108.51176816431808,0.6688056001166691
2010,ARTVİN,164759,7115,7988,-873,15103,43.184287353042926,48.48293568181404,-5.284647584225962,91.66722303485697,0.8907110665998998
2010,AYDIN,989862,29971,29923,48,59894,30.277957937571095,30.22946632964999,0.04849278366763046,60.50742426722109,1.0016041172342345
2010,AĞRI,542022,14950,22966,-8016,37916,27.581906269487217,42.37097387190926,-14.680512059776936,69.95288014139648,0.6509622920839502
2010,BALIKESİR,1152323,36784,35162,1622,71946,31.921605313787886,30.514013865903916,1.4085828024371436,62.435619179691805,1.0461293441783743
2010,BARTIN,187758,6902,7859,-957,14761,36.76008478999563,41.85707133650763,-5.084029930433259,78.61715612650326,0.8782287822878229
2010,BATMAN,510200,19561,18839,722,38400,38.33986671893375,36.92473539788318,1.4161333283644444,75.26460211681693,1.0383247518445777
2010,BAYBURT,74412,3984,4780,-796,8764,53.5397516529592,64.23695102940385,-10.640288731453014,117.77670268236307,0.8334728033472804
2010,BOLU,271208,11874,11926,-52,23800,43.78189433940002,43.97362909648683,-0.1917163777402538,87.75552343588684,0.9956397786349153
2010,BURDUR,258868,9439,8904,535,18343,36.46259869895081,34.39590833938532,2.0688281731860534,70.85850703833614,1.0600853548966755
2010,BURSA,2605495,72640,57220,15420,129860,27.879539204642494,21.961277991322188,5.935826098002722,49.84081719596468,1.269486193638588
2010,BİLECİK,225381,8876,8690,186,17566,39.382201694020345,38.55693248321731,0.8256098860125706,77.93913417723766,1.021403912543153
2010,BİNGÖL,255170,8453,10448,-1995,18901,33.126934984520126,40.94525218481797,-7.787873168922678,74.0721871693381,0.8090543644716692
2010,BİTLİS,328767,10800,15347,-4547,26147,32.85001231875462,46.680475838511775,-13.73547949571125,79.53048815726639,0.7037205968593211
2010,DENİZLİ,931823,21863,23468,-1605,45331,23.4626103884536,25.18504050661982,-1.7209480118225375,48.64765089507342,0.9316089994886654
2010,DÜZCE,338188,11820,10893,927,22713,34.9509740144535,32.20989508793925,2.7448408392047363,67.16086910239275,1.085100523271826
2010,DİYARBAKIR,1528958,34810,44858,-10048,79668,22.767139450527743,29.338935405681518,-6.550272428229275,52.10607485620926,0.7760042801729903
2010,EDİRNE,390428,14019,14830,-811,28849,35.906748491399185,37.98395606872458,-2.07505242002029,73.89070456012377,0.9453135536075522
2010,ELAZIĞ,552646,15551,19438,-3887,34989,28.139170463551714,35.17260597199654,-7.008787580724121,63.31177643554825,0.8000308673731865
2010,ERZURUM,769085,23294,35711,-12417,59005,30.287939564547482,46.433099072274196,-16.01587011886466,76.72103863682167,0.6522920108649995
2010,ERZİNCAN,224949,14198,12365,1833,26563,63.116528635379574,54.9680149722826,8.181848615714237,118.08454360766218,1.14824100283057
2010,ESKİŞEHİR,764584,31662,26780,4882,58442,41.41075408326619,35.025582539001604,6.405622042057724,76.43633662226779,1.1823002240477969
2010,GAZİANTEP,1700763,40380,36327,4053,76707,23.742285080284553,21.35923700127531,2.3858909254024976,45.101522081559864,1.111569906680981
2010,GÜMÜŞHANE,129618,8848,10128,-1280,18976,68.26212408770387,78.13729574596121,-9.826651721967172,146.39941983366506,0.8736176935229067
2010,GİRESUN,419256,17474,20514,-3040,37988,41.67859255442975,48.92953231438548,-7.22474665855467,90.60812486881524,0.8518085210100419
2010,HAKKARİ,251302,6013,9225,-3212,15238,23.927386172811996,36.708820463028545,-12.700270454078163,60.636206635840544,0.6518157181571815
2010,HATAY,1480571,29752,33730,-3978,63482,20.0949498538064,22.781751094679013,-2.6831966328512844,42.876700948485414,0.8820634450044471
2010,ISPARTA,448298,15017,18255,-3238,33272,33.49780726213367,40.7206813325065,-7.196882980638651,74.21848859464018,0.822623938646946
2010,IĞDIR,184418,6667,8353,-1686,15020,36.15156871888861,45.29384333416478,-9.100674183989074,81.44541205305339,0.7981563510116126
2010,KAHRAMANMARAŞ,1044816,21182,28592,-7410,49774,20.273426134362413,27.365583987994057,-7.06709736857917,47.639010122356474,0.7408365976496922
2010,KARABÜK,227610,9036,8906,130,17942,39.69948596283116,39.12833355300734,0.5713155639543827,78.8278195158385,1.014596900965641
2010,KARAMAN,232633,7478,8927,-1449,16405,32.1450525075978,38.373747490682746,-6.209356888036596,70.51879999828056,0.837683432284082
2010,KARS,301766,9906,16657,-6751,26563,32.826759807267884,55.198398759303565,-22.124162069072874,88.02515856657145,0.594704928858738
2010,KASTAMONU,361222,13811,15422,-1611,29233,38.234105342421,42.69396659118215,-4.449938195302843,80.92807193360316,0.8955388406172999
2010,KAYSERİ,1234651,37842,30380,7462,68222,30.649956951397602,24.606143760463482,6.062132388782374,55.25610071186109,1.2456221198156683
