Yaş grubu Age group,Cinsiyet Sex,Toplam Total,Tayin / iş değişikliği Assignation / change of job,İşe  başlamak / iş bulmak Starting / finding a job,Eğitim Education,Medeni durum değişikliği / ailevi nedenler  Change of marital status / family-related reasons,Daha iyi konut  ve yaşam koşulları  Better  housing and  living conditions,Hane / aile fertlerinden  birine bağımlı göç Migration related to any member of the household / family,Aile yanına / memlekete geri dönme(1)  Returning to family home / hometown(1),Sağlık / bakım  Health / care,Ev alınması Buying a house,Emeklilik Retirement,Diğer Other,Bilinmeyen Unknown
,Kadın-Female,74735.0,10401,6176,419,5880,20871.0,21016.0,3190.0,232.0,2309.0,-,1567.0,2674.0
40-44,Toplam-Total,118326.0,23749,11887,40,5868,35416.0,23196.0,5245.0,536.0,5066.0,-,2943.0,4380.0
,Erkek-Male,61282.0,17233,7399,13,2386,18872.0,5863.0,2585.0,280.0,2747.0,-,1507.0,2397.0
,Kadın-Female,57044.0,6516,4488,27,3482,16544.0,17333.0,2660.0,256.0,2319.0,-,1436.0,1983.0
45-49,Toplam-Total,100484.0,15593,9253,-,3942,30276.0,21052.0,5097.0,570.0,5117.0,3132,2751.0,3701.0
,Erkek-Male,52833.0,11577,6017,-,1699,15881.0,6258.0,2522.0,299.0,2676.0,2531,1452.0,1921.0
,Kadın-Female,47651.0,4016,3236,-,2243,14395.0,14794.0,2575.0,271.0,2441.0,601,1299.0,1780.0
50-54,Toplam-Total,83090.0,9336,6186,-,2719,28039.0,17338.0,4758.0,684.0,5136.0,3418,2394.0,3082.0
,Erkek-Male,43397.0,7541,4242,-,1245,14244.0,5527.0,2312.0,309.0,2482.0,2691,1259.0,1545.0
,Kadın-Female,39693.0,1795,1944,-,1474,13795.0,11811.0,2446.0,375.0,2654.0,727,1135.0,1537.0
55-59,Toplam-Total,63136.0,3830,3558,-,1667,25375.0,12125.0,4145.0,762.0,4931.0,2273,1843.0,2627.0
,Erkek-Male,32836.0,3127,2505,-,769,13406.0,4157.0,2057.0,366.0,2386.0,1689,1057.0,1317.0
,Kadın-Female,30300.0,703,1053,-,898,11969.0,7968.0,2088.0,396.0,2545.0,584,786.0,1310.0
