province,mean_turnover_rate,mean_net_migration_rate,net_migration_rate_volatility,net_migration_rate_trend,recent_net_migration_rate,latest_population_log,latest_population,latest_in_migration,latest_out_migration,latest_net_migration,latest_net_migration_rate,cluster_id,pc1,pc2,cluster_name
ADANA,51.67289596733098,-4.193747842571074,2.367871108646435,0.09732512840685584,-2.7543704817507564,14.641268082113275,2283609,49680,55959,-6279,-2.7458201022106277,2,-1.8033067083918095,-0.7354922096390984,Büyük Ölçekli Çekim Merkezleri
ADIYAMAN,67.12223988293704,-10.222027144582272,9.16976252438319,0.312203214688547,-12.580957611473062,13.333955669062437,617821,19965,19344,621,1.0056509160572975,3,-0.05835423732116901,-1.794391598005172,Süregelen Net Göç Veren İller
AFYONKARAHİSAR,64.56417581466252,-3.57483610199345,4.283585601337083,0.40288591290663367,-0.8185708184300778,13.530237581309514,751808,19864,21498,-1634,-2.171067928915462,1,-0.7791053781310835,-0.3275017736251822,Dengeli Orta Hareketlilik
AKSARAY,66.38511558710108,-1.7912843990241218,5.265962342651278,0.541299097022114,2.8373712193349885,12.997110763781276,441136,12270,12941,-671,-1.5199169142288913,1,-0.432465059557443,0.18347253935847246,Dengeli Orta Hareketlilik
AMASYA,83.68868558478971,-1.4941577679902975,5.505853873422399,0.7151195396624844,3.0149234853375106,12.743276290056215,342242,12458,13119,-661,-1.9295185690620231,1,0.10718090263865966,0.3821550170089982,Dengeli Orta Hareketlilik
ANKARA,64.35425005701731,6.016099128049814,4.002483942992042,-0.22694776915467563,6.112426836238234,15.592210702628103,5910320,176833,145661,31172,5.288109692481459,2,-2.2600034548837966,0.8289106267848749,Büyük Ölçekli Çekim Merkezleri
ANTALYA,68.79869723315505,9.765048531033244,4.059182011476381,-0.38552685433006123,10.130719479552516,14.837125884851117,2777677,96027,67649,28378,10.268906541298533,2,-1.8605057051131588,1.483769968861008,Büyük Ölçekli Çekim Merkezleri
ARDAHAN,121.25807769683355,-17.118431191580587,9.716540504015791,0.671389254190044,-10.27072710861525,11.411922109753812,90392,4914,5916,-1002,-11.023951239369367,3,2.3747411143564245,-1.7067634945924237,Süregelen Net Göç Veren İller
ARTVİN,106.06541206632188,-2.6030605090494876,13.696679306083016,0.20877314304152647,-2.5025150453613416,12.028929656776649,167531,7329,8928,-1599,-9.499169788006332,1,1.5690427749196194,-0.04489372758691348,Dengeli Orta Hareketlilik
AYDIN,67.7119266844559,5.460044453047002,3.4787305075705044,0.20312048589053613,6.059824287036174,13.974314395044177,1172107,37711,32935,4776,4.083031907663294,2,-1.2708242954075641,0.9438918833260737,Büyük Ölçekli Çekim Merkezleri
AĞRI,83.99849971382903,-25.49751256614383,7.383379934474489,-0.41106764455793776,-24.632819664075498,13.105196872482418,491489,14899,28346,-13447,-26.990491005344104,3,0.6709847208379481,-4.121773453155749,Süregelen Net Göç Veren İller
BALIKESİR,68.28020895361384,4.635101813293148,5.26991754576867,0.40120737895715275,8.166493682313165,14.065894108668612,1284517,44397,35209,9188,7.178556835059609,2,-1.1761491963615736,1.1021052817198567,Büyük Ölçekli Çekim Merkezleri
BARTIN,87.89282671558395,3.4448349863719883,8.287696682686017,0.42719571978569915,6.913993467339182,12.238849565044111,206663,8227,8114,113,0.5469334217461697,1,0.5099294288734761,1.1099057616660657,Dengeli Orta Hareketlilik
BATMAN,71.15692717289222,-2.9323315012097644,3.8864468520469835,0.09589205793061681,0.38456484341139713,13.403967516583986,662626,21076,21176,-100,-0.1509033071968805,1,-0.639983972347234,-0.20497052768403085,Dengeli Orta Hareketlilik
BAYBURT,167.86579666313304,-3.2901632693456273,45.64066277253245,0.09087854470550649,-9.591966252958075,11.32463010046458,82836,5064,6388,-1324,-15.856667225562289,0,5.502384631133971,-0.044911175172772884,Küçük Ölçekli Yüksek Hareketlilik
